Time,temperature,humidity,LDR,Label
2020-09-17 11:20:37 +07,27,79,1024,Hangout
2020-09-17 11:20:52 +07,27,76,1024,Hangout
2020-09-17 11:21:08 +07,27.4,76,1024,Hangout
2020-09-17 11:21:23 +07,27.4,76,1024,Hangout
2020-09-17 11:21:39 +07,27.4,76,1024,Hangout
2020-09-17 11:21:54 +07,27.7,76,1024,Hangout
2020-09-17 11:22:11 +07,27.7,76,1024,Hangout
2020-09-17 11:22:26 +07,27.7,77,1024,Hangout
2020-09-17 11:22:42 +07,27.7,76,1024,Hangout
2020-09-17 11:27:51 +07,33.2,67,289,Stay Home
2020-09-17 11:28:06 +07,32.6,63,277,Stay Home
2020-09-17 11:28:22 +07,32,63,277,Stay Home
2020-09-17 11:28:37 +07,31.6,64,277,Stay Home
2020-09-17 11:28:52 +07,31.5,65,277,Stay Home
2020-09-17 11:29:07 +07,31,66,277,Stay Home
2020-09-17 11:29:23 +07,30.8,65,276,Stay Home
2020-09-17 11:29:38 +07,30.9,66,277,Stay Home
2020-09-17 11:29:54 +07,30.5,67,276,Stay Home
2020-09-17 11:30:09 +07,30,68,277,Stay Home
2020-09-17 11:30:24 +07,30,69,280,Stay Home
2020-09-17 11:30:40 +07,30,68,281,Stay Home
2020-09-17 11:30:55 +07,30,68,274,Stay Home
2020-09-17 11:31:10 +07,30,69,276,Stay Home
2020-09-17 11:31:25 +07,29.6,71,276,Stay Home
2020-09-17 11:31:41 +07,29.6,72,274,Stay Home
2020-09-17 11:31:56 +07,29.6,72,276,Stay Home
2020-09-17 11:34:00 +07,29.5,73,241,Stay Home
2020-09-17 11:45:01 +07,30.6,72,61,Stay Home
2020-09-17 12:15:01 +07,30,74,294,Stay Home
2020-09-17 12:30:01 +07,31.1,71,69,Stay Home
2020-09-17 12:45:01 +07,31.6,72,69,Stay Home
2020-09-17 13:00:01 +07,32.2,70,69,Stay Home
2020-09-17 13:15:01 +07,32.6,69,66,Stay Home
2020-09-17 13:30:01 +07,32.7,69,63,Stay Home
2020-09-17 13:45:01 +07,33.2,68,63,Stay Home
2020-09-17 14:00:01 +07,33.4,69,62,Stay Home
2020-09-17 14:15:01 +07,33.3,69,60,Stay Home
2020-09-17 14:30:00 +07,33.8,69,60,Stay Home
2020-09-17 14:45:01 +07,33.8,69,60,Stay Home
2020-09-17 15:00:00 +07,34,68,60,Stay Home
2020-09-17 15:15:01 +07,34,68,69,Stay Home
2020-09-17 15:30:01 +07,34,68,67,Stay Home
2020-09-17 15:45:00 +07,34.4,68,66,Stay Home
2020-09-17 16:00:01 +07,34.4,68,68,Stay Home
2020-09-17 16:15:01 +07,34.4,68,69,Stay Home
2020-09-17 16:30:01 +07,34.4,68,77,Stay Home
2020-09-17 16:45:01 +07,34,68,79,Stay Home
2020-09-17 17:00:01 +07,34,68,88,Stay Home
2020-09-17 17:15:01 +07,34.3,69,103,Stay Home
2020-09-17 17:30:01 +07,33.8,69,127,Stay Home
2020-09-17 17:45:01 +07,33.8,70,173,Stay Home
2020-09-17 18:00:01 +07,33.4,69,253,Stay Home
2020-09-17 18:15:01 +07,33.3,70,588,Stay Home
2020-09-17 18:30:01 +07,33.2,71,320,Stay Home
2020-09-17 18:45:01 +07,30.9,63,329,Stay Home
2020-09-18 08:00:01 +07,27.7,73,124,Hangout
2020-09-18 08:15:00 +07,27.7,73,117,Hangout
2020-09-18 08:30:01 +07,27.7,73,118,Hangout
2020-09-18 08:45:01 +07,27.7,73,129,Hangout
2020-09-18 09:00:01 +07,27.7,72,124,Hangout
2020-09-18 09:15:02 +07,27.7,70,104,Hangout
2020-09-18 09:30:01 +07,27.7,71,98,Hangout
2020-09-18 09:45:02 +07,27.7,71,91,Hangout
2020-09-18 10:00:01 +07,27.7,69,94,Hangout
2020-09-18 10:15:02 +07,27.7,70,93,Hangout
2020-09-18 10:30:01 +07,27.4,69,98,Hangout
2020-09-18 10:45:00 +07,27.4,70,100,Hangout
2020-09-18 11:00:01 +07,28.9,70,87,Hangout
2020-09-18 11:15:00 +07,29.6,72,80,Hangout
2020-09-18 11:30:01 +07,29.6,72,77,Hangout
2020-09-18 11:45:01 +07,30,71,68,Hangout
2020-09-18 12:00:01 +07,30.5,72,67,Hangout
2020-09-18 12:15:01 +07,30.2,72,67,Hangout
2020-09-18 12:30:01 +07,30.6,71,67,Hangout
2020-09-18 12:45:01 +07,31,72,65,Stay Home
2020-09-18 13:00:01 +07,30.6,71,63,Stay Home
2020-09-18 13:15:01 +07,31,71,67,Stay Home
2020-09-18 13:30:01 +07,30.6,71,79,Stay Home
2020-09-18 13:45:01 +07,30.6,72,87,Stay Home
2020-09-18 14:00:01 +07,30.5,72,94,Stay Home
2020-09-18 14:15:01 +07,30.4,72,90,Stay Home
2020-09-18 14:30:01 +07,30.6,72,93,Stay Home
2020-09-18 14:45:01 +07,30.6,72,100,Stay Home
2020-09-18 15:00:01 +07,30.6,72,108,Stay Home
2020-09-18 15:15:02 +07,30.2,73,133,Stay Home
2020-09-18 15:30:00 +07,30.4,74,132,Stay Home
2020-09-18 15:45:00 +07,30.1,74,97,Stay Home
2020-09-18 16:00:00 +07,30.6,75,114,Stay Home
2020-09-18 16:15:00 +07,30.6,75,124,Stay Home
2020-09-18 16:30:00 +07,30.6,75,137,Stay Home
2020-09-18 16:45:00 +07,30.6,75,150,Stay Home
2020-09-18 17:00:00 +07,30.6,75,163,Stay Home
2020-09-18 17:15:00 +07,30.6,75,202,Stay Home
2020-09-18 17:30:00 +07,30.2,75,280,Stay Home
2020-09-18 17:45:01 +07,30.5,75,350,Stay Home
2020-09-18 18:00:00 +07,30.5,76,465,Stay Home
2020-09-18 18:15:00 +07,30.5,76,808,Stay Home
2020-09-18 18:30:00 +07,30.4,77,1016,Stay Home
2020-09-18 18:45:00 +07,30,77,722,Stay Home
2020-09-19 08:00:00 +07,28.1,78,142,Hangout
2020-09-19 08:15:01 +07,28.1,78,128,Hangout
2020-09-19 08:30:01 +07,28.1,77,114,Hangout
2020-09-19 08:45:01 +07,28.1,76,103,Hangout
2020-09-19 09:00:00 +07,28.5,76,97,Hangout
2020-09-19 09:15:00 +07,28.3,76,90,Hangout
2020-09-19 09:30:01 +07,28.5,76,87,Hangout
2020-09-19 09:45:01 +07,28.5,76,84,Hangout
2020-09-19 10:00:01 +07,28.5,75,81,Hangout
2020-09-19 10:15:01 +07,28.8,76,77,Hangout
2020-09-19 10:30:01 +07,29.2,76,75,Hangout
2020-09-19 10:45:01 +07,29.6,77,68,Hangout
2020-09-19 11:00:01 +07,29.6,76,67,Hangout
