temperature,humidity,LDR,Label
27,79,1024,Hangout
27,76,1024,Hangout
27.4,76,1024,Hangout
27.4,76,1024,Hangout
27.4,76,1024,Hangout
27.7,76,1024,Hangout
27.7,76,1024,Hangout
27.7,77,1024,Hangout
27.7,76,1024,Hangout
33.2,67,289,Stay Home
32.6,63,277,Stay Home
32,63,277,Stay Home
31.6,64,277,Stay Home
31.5,65,277,Stay Home
31,66,277,Stay Home
30.8,65,276,Stay Home
30.9,66,277,Stay Home
30.5,67,276,Stay Home
30,68,277,Stay Home
30,69,280,Stay Home
30,68,281,Stay Home
30,68,274,Stay Home
30,69,276,Stay Home
29.6,71,276,Stay Home
29.6,72,274,Stay Home
29.6,72,276,Stay Home
29.5,73,241,Stay Home
30.6,72,61,Stay Home
30,74,294,Stay Home
31.1,71,69,Stay Home
31.6,72,69,Stay Home
32.2,70,69,Stay Home
32.6,69,66,Stay Home
32.7,69,63,Stay Home
33.2,68,63,Stay Home
33.4,69,62,Stay Home
33.3,69,60,Stay Home
33.8,69,60,Stay Home
33.8,69,60,Stay Home
34,68,60,Stay Home
34,68,69,Stay Home
34,68,67,Stay Home
34.4,68,66,Stay Home
34.4,68,68,Stay Home
34.4,68,69,Stay Home
34.4,68,77,Stay Home
34,68,79,Stay Home
34,68,88,Stay Home
34.3,69,103,Stay Home
33.8,69,127,Stay Home
33.8,70,173,Stay Home
33.4,69,253,Stay Home
33.3,70,588,Stay Home
33.2,71,320,Stay Home
30.9,63,329,Stay Home
27.7,73,124,Hangout
27.7,73,117,Hangout
27.7,73,118,Hangout
27.7,73,129,Hangout
27.7,72,124,Hangout
27.7,70,104,Hangout
27.7,71,98,Hangout
27.7,71,91,Hangout
27.7,69,94,Hangout
27.7,70,93,Hangout
27.4,69,98,Hangout
27.4,70,100,Hangout
28.9,70,87,Hangout
29.6,72,80,Hangout
29.6,72,77,Hangout
30,71,68,Hangout
30.5,72,67,Hangout
30.2,72,67,Hangout
30.6,71,67,Hangout
31,72,65,Stay Home
30.6,71,63,Stay Home
31,71,67,Stay Home
30.6,71,79,Stay Home
30.6,72,87,Stay Home
30.5,72,94,Stay Home
30.4,72,90,Stay Home
30.6,72,93,Stay Home
30.6,72,100,Stay Home
30.6,72,108,Stay Home
30.2,73,133,Stay Home
30.4,74,132,Stay Home
30.1,74,97,Stay Home
30.6,75,114,Stay Home
30.6,75,124,Stay Home
30.6,75,137,Stay Home
30.6,75,150,Stay Home
30.6,75,163,Stay Home
30.6,75,202,Stay Home
30.2,75,280,Stay Home
30.5,75,350,Stay Home
30.5,76,465,Stay Home
30.5,76,808,Stay Home
30.4,77,1016,Stay Home
30,77,722,Stay Home
28.1,78,142,Hangout
28.1,78,128,Hangout
28.1,77,114,Hangout
28.1,76,103,Hangout
28.5,76,97,Hangout
28.3,76,90,Hangout
28.5,76,87,Hangout
28.5,76,84,Hangout
28.5,75,81,Hangout
28.8,76,77,Hangout
29.2,76,75,Hangout
29.6,77,68,Hangout
29.6,76,67,Hangout
